sepal_length,sepal_width,petal_length,petal_width
6.673251927597432,2.648005645234408,4.550323324103548,1.4818851377297406
6.453610378732808,2.399712060289253,5.2157059964956565,1.3915540231487382
6.02897874986864,2.552836304550875,5.980077068697842,1.6100017687681283
5.701399984729722,2.9624350946981837,5.811087715547374,1.4409781249996612
7.131492923073579,2.412944737660791,5.758473984326983,1.5241765456034198
5.601895709785155,2.6959983507026206,6.0955057045910985,1.6701336099854558
6.489217630690491,2.3689835813330684,4.93233562911906,1.3578309084071623
5.218922720353583,2.8472689153656328,5.893938827675386,1.6053599209044749
5.669194577710888,2.8824147597882437,6.004197938027816,1.633749031753761
6.777474226505046,3.3243371461748183,5.70970155481541,1.2819741258592512
5.916040419180027,3.3209575848262083,5.078999004163916,1.2669824671927112
6.195684296774302,3.020632422159297,6.114998372229731,1.394343189937921
6.33549892469577,3.2252423892077693,4.80474512483696,1.2655569339545143
7.43131840500379,2.7870537035191196,5.105678769974823,1.5727200867625093
5.048912291732126,3.282866916637111,4.817360212940065,1.4381591174306092
5.4787553037837515,2.6635298068875564,5.720044802783145,1.6799950035333207
7.398208039056541,2.691617009402491,5.525791867647112,1.5043425331245341
7.06613742958821,3.0380470502289567,4.830521967584002,1.4020043005522154
5.676155006830478,2.885697685347274,6.046239417251473,1.3200400425705396
5.2800361863589,2.373728719125471,5.677521299550305,1.4100628825707382
5.605404405784797,2.63518541257832,5.3964748581722235,1.5280722748969702
6.913845304433488,2.6197630462995893,5.002138289867958,1.2611810213777541
5.224107788002609,2.7577258719853925,4.695257079189684,1.5676803432816784
5.148365456920321,2.3763783429115133,5.844989254657046,1.5397869729114628
6.834377424901892,3.1830087729521708,5.026222059618107,1.6566362303804858
6.3619556592652815,2.489478622706548,4.768818584353916,1.4942102646333966
5.838551591474123,2.615791014311886,4.768281375747483,1.2737039873142626
5.253299370174873,2.2920755644542607,4.306350772510047,1.4062242552813706
6.5365569505733045,2.450724558474538,5.891538045845381,1.6850294587436698
6.351728324279093,3.051115010510963,4.827310190385467,1.222066675639854
7.318918775782,2.3831287068487605,6.013792186614489,1.543129552959666
5.8100189137740035,2.794987578109266,5.103324810203112,1.2139722476655492
5.935758826748029,3.0686496954880678,5.120541145459445,1.3465380702057503
5.884476847293099,3.206620920289863,5.152121327106467,1.5170112735307417
7.462897996808546,2.59938716692104,5.058263895216705,1.6870281586325004
6.952458867195316,2.537695352560113,4.388225737114986,1.620422745712421
5.689293565554131,3.2733969279471498,4.34366529573802,1.390989120080866
5.178063862250783,3.0277019436869836,5.898175803787412,1.5815247163986041
7.403137599088939,2.383924455921355,4.258977211615905,1.7030476387004225
7.195888161973999,3.1707642703599834,5.709888401168841,1.4173370183631961
5.588004450650297,3.2802605023975246,4.706280373010601,1.4390446092984193
6.802888577818116,2.568558809593266,5.751025651984443,1.2420207741790688
7.033780321820115,2.9140734813319407,5.248907033991729,1.4750262234831963
5.738154902634224,2.759758719682985,4.998058164518122,1.5502525132698421
5.749567200355936,2.326907051813287,4.375982471143842,1.6195064588769439
5.096680670681562,3.199216210002881,5.496570548059022,1.6608519247846296
7.146680811715557,2.3774356972018027,5.757800225578935,1.5027854625954338
7.271520073658057,3.2329769931875845,4.129323209258507,1.4297191292901235
6.3665249655804885,2.99976330055685,4.663819943235633,1.3512853563987914
6.000789612104399,2.8010513347598813,6.020338312067042,1.6572650800184627
6.121889340683017,2.3008901198530056,4.423782007973269,1.4735546545916502
7.0908412682487345,2.666378999958625,5.178533167519921,1.7350829316510612
7.342766573755104,2.481667996015812,4.168933640456892,1.3832463185829091
6.793421833360966,3.3052456650934183,4.237145279967592,1.217090286329563
7.26805097672402,3.0779227013955177,6.104187101477373,1.438075728879392
6.088448280944658,2.4329892577731433,4.31632819129857,1.547230806354143
5.957998203262978,2.3299544216986745,5.889453621827573,1.3190138809496
6.926432554448902,2.556096027652284,5.73832585473571,1.2710381048565924
6.945300457758838,2.3498931387685738,4.991708207228164,1.6404026103597629
5.476510320590989,2.5599447875083294,5.844124663868082,1.7310715925445876
5.15323734018087,2.428261455595332,4.319642758156632,1.3078158567907818
7.484873065251806,2.857853878645311,5.03494927652805,1.7906804238555698
6.443529447249053,2.9804520786269872,4.758851913940327,1.429268918705711
6.5379116471988645,2.31816007808052,4.602001087531341,1.3180870496761843
5.080051350712809,2.8413294229828723,5.224547792628713,1.4303635338223553
5.7171932230512725,2.9703070611139792,4.354704689224292,1.5111690189812004
6.975546444242762,2.424013742026769,5.61664945873547,1.6564767054920388
5.1910151535407465,2.2610384452176433,6.066828228215917,1.316029595699295
7.111790806932259,2.869272731410734,4.619523201375474,1.2779822619712875
6.291626729415873,2.6962373890249838,5.505727613638817,1.742501129728636
7.069225179147864,2.547386296229389,5.873023765642704,1.7000347884627625
7.381423308978857,2.753700119562546,5.647893351715172,1.5549948393142023
5.822466936424698,3.353762722847895,4.158147232352909,1.297363543535445
7.289206753580374,2.3078303846221493,5.889114161380784,1.6291328856349208
5.132443693594246,2.7208384479966776,5.619121809004563,1.54986017077848
7.398395655750434,3.21176131686144,4.758601176081657,1.2507763173120543
7.419527739907041,2.8193611799000777,4.231771153718775,1.6899453680155676
7.228636306127186,2.956155596997759,4.992918290000133,1.5973038073941437
6.820842913176912,3.240193553056284,6.029957827964466,1.5085925594345468
7.0522062244869375,3.3202507027106534,4.38853640981981,1.210960788965806
7.229788707577701,2.45870613323682,4.166656683928873,1.2960576825944667
6.007969576334299,2.4855775857836897,4.702717403364903,1.7851764308580278
6.81510197128969,3.037654735643588,4.273158164444962,1.6392590218936152
6.903147719047367,2.978914420615428,4.546010043835665,1.453821707449311
7.172616665767455,2.990625824861501,5.574848423399801,1.5524246400754853
6.172958229761682,3.090138251275161,4.218568661307262,1.6038964396681585
7.552955359783711,3.1138149610041954,4.672749563618009,1.3666916968232283
